City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Kailua,US,77.14,clear sky,21.4022,-157.7394,Sheffield House Bed & Breakfast
2,Salalah,OM,77.09,drizzle,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
3,Hilo,US,76.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
4,Rio Grande,BR,62.71,broken clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
5,Rikitea,PF,72.46,light rain,-23.1203,-134.9692,People ThankYou
6,Lompoc,US,74.84,overcast clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
7,Vaini,TO,75.36,few clouds,-21.2,-175.2,Keleti Beach Resort
9,Sitka,US,55.29,light rain,57.0531,-135.33,Westmark Sitka
13,Atuona,PF,76.87,clear sky,-9.8,-139.0333,Villa Enata
15,Sampit,ID,72.97,scattered clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
18,Teluk Intan,MY,78.82,overcast clouds,4.0259,101.0213,Angsoka Hotel Teluk Intan
22,Athabasca,CA,68.41,few clouds,54.7169,-113.2854,Athabasca Lodge Motel
23,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
25,Rocha,UY,56.66,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
27,Biak,ID,75.27,overcast clouds,-0.9131,122.8766,Penginapan Kim
28,Carnarvon,AU,60.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
36,Kapaa,US,75.52,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
37,Mataram,ID,76.01,few clouds,-8.5833,116.1167,Hotel Santika Mataram
39,Belmonte,BR,78.6,clear sky,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
41,Skibbereen,IE,66.11,broken clouds,51.55,-9.2667,The West Cork Hotel
43,Hermanus,ZA,58.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
44,Namibe,AO,64.76,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
45,Novaya Lyalya,RU,68.23,light rain,59.055,60.599,Taezhnaya Ros'
46,Airai,TL,57.36,scattered clouds,-8.9266,125.4092,
48,Iquique,CL,60.84,clear sky,-20.2208,-70.1431,Backpacker`s Hostel Iquique
51,Saldanha,ZA,57.25,broken clouds,-33.0117,17.9442,Blue Bay Lodge
52,Bogorodskoye,RU,60.96,overcast clouds,56.55,37.8833,Sosnoviy Bor
53,Bredasdorp,ZA,56.05,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
54,Saint-Leu,RE,68.32,few clouds,-21.15,55.2833,La Caz Oceane
63,Grenaa,DK,70.02,overcast clouds,56.4158,10.8783,Hotel Marina
64,Kuopio,FI,60.75,clear sky,62.8924,27.677,Hotel Jahtihovi
65,Nikolskoye,RU,58.91,overcast clouds,59.7035,30.7861,Tourist House - Sablino
66,Ribeira Grande,PT,77.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
67,Kosino,RU,65.88,broken clouds,58.4127,51.2782,Kbf Grupp
68,Melioratorov,RU,70.18,clear sky,57.2107,65.6077,"Royal, hotel and leisure complex"
70,Avarua,CK,71.65,scattered clouds,-21.2078,-159.775,Paradise Inn
71,Saint-Philippe,RE,67.59,scattered clouds,-21.3585,55.7679,Le four à pain
73,Lagoa,PT,73.87,scattered clouds,39.05,-27.9833,Casa Das Faias
76,Troitsko-Pechorsk,RU,67.1,broken clouds,62.7084,56.1964,Pechora Gostinitsa
78,Saint-Augustin,CA,65.77,broken clouds,51.226,-58.6502,
79,Severnyy,RU,78.84,clear sky,50.677,36.5532,Full House North Mini-Hotel
80,Port Hedland,AU,59.05,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
81,Jamestown,US,76.59,mist,42.097,-79.2353,Hampton Inn & Suites Jamestown
84,Mahebourg,MU,70.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
85,Asau,RO,76.28,scattered clouds,46.4333,26.4,Casa Mika Ciobanus
86,Coquimbo,CL,60.53,clear sky,-29.9533,-71.3436,Hotel San Juan
87,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
89,Vila Franca Do Campo,PT,75.61,light rain,37.7167,-25.4333,Pestana Bahia Praia
91,Koungou,YT,73.11,clear sky,-12.7336,45.2042,Villa Netibor
92,Sobolevo,RU,62.19,overcast clouds,54.4299,31.8996,
93,Bambous Virieux,MU,70.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
94,Puerto Ayora,EC,75.16,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
99,Banda Aceh,ID,79.21,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
100,Kamina,CD,73.17,broken clouds,-8.7386,24.9906,LEANIF HOTEL RESTAURANT
104,La Ronge,CA,71.85,few clouds,55.1001,-105.2842,Northland Motor Hotel
105,Marzuq,YE,78.37,light rain,14.4,46.4667,
106,Souillac,MU,70.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
108,Chokurdakh,RU,56.79,overcast clouds,70.6333,147.9167,
110,Bengkulu,ID,76.17,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
114,Caconda,AO,71.65,clear sky,-13.7333,15.0667,
115,Lerwick,GB,57.2,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
117,Kramat,ID,73.76,light rain,-8.1311,113.4499,Padepokan HM Arum Sabil
120,Hobyo,SO,76.78,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
121,Narsaq,GL,61.02,overcast clouds,60.9167,-46.05,Sleep In Narsaq
122,Santa Maria,BR,58.3,overcast clouds,-29.6842,-53.8069,Hotel Morotin
125,Yatou,CN,76.66,overcast clouds,37.15,122.3833,GreenTree Hotel Rongcheng Bus Station
128,Ginda,IN,67.6,overcast clouds,30.6945,78.4932,Sunil Bisht
129,Birao,CF,75.45,light rain,10.2849,22.7882,
131,Talnakh,RU,65.21,moderate rain,69.4865,88.3972,Talnakh Hotel
132,Isangel,VU,74.34,clear sky,-19.55,169.2667,Tanna Lodge
133,Veshkayma,RU,69.67,overcast clouds,54.05,47.1333,
135,Port Alfred,ZA,60.19,moderate rain,-33.5906,26.891,The Halyards Hotel
137,Ardesen,TR,78.39,scattered clouds,41.1911,40.9875,Green Suada Hotel
138,Ahuimanu,US,76.86,clear sky,21.4447,-157.8378,Paradise Bay Resort
139,Castro,BR,65.23,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
141,Grand-Lahou,CI,76.62,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
145,Praia Da Vitoria,PT,79.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
146,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
147,Shiraoi,JP,75.38,light rain,42.55,141.35,Pirika Rera Hotel
148,Moron,AR,57.09,light rain,-34.6534,-58.6198,Hotel Morón
149,East London,ZA,61.74,scattered clouds,-33.0153,27.9116,Tu Casa
150,Kapatalan,PH,74.37,moderate rain,14.4741,121.4903,Great Valley Mountain Farm Laguna
151,Polessk,RU,68.97,overcast clouds,54.862,21.1028,Vocation House
152,Hovd,MN,72.79,overcast clouds,48.0056,91.6419,Hotel Khovd
156,Boat Of Garten,GB,63.63,overcast clouds,57.2491,-3.759,The Boat Country Inn & Restaurant
158,Ellensburg,US,73.53,clear sky,46.9965,-120.5479,"Holiday Inn Express Ellensburg, an IHG Hotel"
159,Vostok,RU,55.89,scattered clouds,46.4856,135.8833,
160,Mount Isa,AU,58.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
161,Hambantota,LK,78.67,overcast clouds,6.1241,81.1185,Bungalow 63
163,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
170,Whitehaven,GB,68.65,scattered clouds,54.549,-3.5841,Premier Inn Whitehaven hotel
172,Brae,GB,55.98,overcast clouds,60.3964,-1.353,Busta House Hotel
173,Arawa,PG,75.63,broken clouds,-6.2132,155.5367,Coastline Guest House
174,Nehe,CN,59.92,clear sky,48.4833,124.8333,Vladimir Homestay
175,Sorland,NO,55.26,overcast clouds,67.667,12.6934,Sjybrygga fiskecamp
177,Richards Bay,ZA,65.8,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
178,Tuktoyaktuk,CA,55.4,broken clouds,69.4541,-133.0374,End of The Road Ltd.
182,Half Moon Bay,US,71.58,overcast clouds,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
184,Tocopilla,CL,64.18,clear sky,-22.092,-70.1979,Hotel Galvarino
185,Uvat,RU,65.86,scattered clouds,59.1433,68.8953,Uvatskiy Rayonnyy Dom Kul'tury
188,Nemuro,JP,66.67,overcast clouds,43.3236,145.575,Hotel Nemuro Kaiyoutei
189,Leh,IN,68.99,broken clouds,34.1667,77.5833,Hotel Ladakh Greens
190,Kodiak,US,56.71,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
191,Tongliao,CN,64.49,clear sky,43.6125,122.2653,Meirujia Hotel
192,Cape Town,ZA,59.41,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
195,San Jose,US,72.91,few clouds,37.3394,-121.895,The Westin San Jose
197,Port Elizabeth,ZA,62.1,clear sky,-33.918,25.5701,39 On Nile Guest House
199,Caravelas,BR,79.47,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
200,Pailon,BO,70.7,overcast clouds,-17.65,-62.75,La plaza
203,Yurga,RU,57.88,light rain,55.7231,84.8861,Gostinitsa 12 Futov
205,Eureka,US,63.21,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
207,Padang,ID,77.02,few clouds,-0.9492,100.3543,Mercure Padang
208,Bollnas,SE,68.13,few clouds,61.3482,16.3946,Grand Hotel
210,Tingi,TZ,60.51,clear sky,-11.3,35.0333,
211,Am Timan,TD,76.15,light rain,11.0297,20.2827,Palais du chef Canton Salamt
212,Kibi,GH,76.8,overcast clouds,6.1649,-0.5538,Gold City Hotel
213,Auki,SB,75.81,broken clouds,-8.7676,160.7034,Auki Motel
214,Pandan,PH,78.64,overcast clouds,14.0453,124.1694,Bonifacio Lodge
217,Goryachegorsk,RU,55.38,scattered clouds,55.4053,88.9154,
218,Yellowknife,CA,59.52,broken clouds,62.456,-114.3525,The Explorer Hotel
219,Meulaboh,ID,76.78,scattered clouds,4.1363,96.1285,Kost Pria
221,Sao Filipe,CV,79.92,light rain,14.8961,-24.4956,Hotel Xaguate
222,Lucapa,AO,78.35,clear sky,-8.4192,20.7447,Lírio Mendes
223,Bay-Khaak,RU,61.93,overcast clouds,51.1667,94.5,
225,Osa,RU,70.93,broken clouds,57.2829,55.4567,Гостиница Оса
226,Thayetmyo,MM,74.79,overcast clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
227,Vanimo,PG,76.28,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
229,Nha Trang,VN,78.8,light rain,12.25,109.1833,Hanoi Golden Hotel
230,Guangyuan,CN,79.93,overcast clouds,32.442,105.823,Guangyuan Poetry Hotel
231,Daru,PG,76.73,overcast clouds,-9.0763,143.2092,Daru Lodge
232,Betioky,MG,73.11,clear sky,-23.7167,44.3833,Bungalows Acacias Hotel
235,Williams Lake,CA,77.05,clear sky,52.1415,-122.1445,Stampeder Motel
237,Galesong,ID,75.22,clear sky,-5.3166,119.3661,Sapriadi Appy
238,Alofi,NU,71.49,scattered clouds,-19.0595,-169.9187,Taloa Heights
243,Aksarka,RU,69.84,scattered clouds,66.5606,67.7975,
