City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6001,-73.9662,92.17,64,59,5.53,broken clouds
1,Kailua,US,21.4022,-157.7394,77.14,76,0,8.05,clear sky
2,Salalah,OM,17.0151,54.0924,77.09,94,100,4.61,drizzle
3,Hilo,US,19.7297,-155.09,76.28,94,100,11.5,light rain
4,Rio Grande,BR,-32.035,-52.0986,62.71,74,74,13.82,broken clouds
5,Rikitea,PF,-23.1203,-134.9692,72.46,80,100,28.57,light rain
6,Lompoc,US,34.6391,-120.4579,74.84,88,100,9.22,overcast clouds
7,Vaini,TO,-21.2,-175.2,75.36,94,20,6.91,few clouds
8,Mar Del Plata,AR,-38.0023,-57.5575,53.62,79,40,5.99,scattered clouds
9,Sitka,US,57.0531,-135.33,55.29,88,75,0.0,light rain
10,Nueva Loja,EC,0.0847,-76.8828,82.42,69,40,4.61,scattered clouds
11,Provideniya,RU,64.3833,-173.3,36.37,76,91,10.25,overcast clouds
12,Bethel,US,41.3712,-73.414,91.89,66,75,13.8,broken clouds
13,Atuona,PF,-9.8,-139.0333,76.87,74,8,13.89,clear sky
14,Clarence Town,AU,-32.5833,151.7833,52.86,96,54,3.53,broken clouds
15,Sampit,ID,-2.5333,112.95,72.97,92,48,2.3,scattered clouds
16,Tiksi,RU,71.6872,128.8694,50.88,96,100,6.89,overcast clouds
17,Zabaykalsk,RU,49.6333,117.3167,54.1,66,22,10.51,few clouds
18,Teluk Intan,MY,4.0259,101.0213,78.82,84,96,0.36,overcast clouds
19,Biltine,TD,14.5333,20.9167,86.38,53,80,11.59,broken clouds
20,Pangnirtung,CA,66.1451,-65.7125,46.4,76,40,6.91,scattered clouds
21,Lavrentiya,RU,65.5833,-171.0,37.96,86,100,11.23,light rain
22,Athabasca,CA,54.7169,-113.2854,68.41,48,17,19.86,few clouds
23,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,78,75,10.36,broken clouds
24,Charters Towers,AU,-20.1,146.2667,54.1,50,0,9.22,clear sky
25,Rocha,UY,-34.4833,-54.3333,56.66,56,87,10.42,overcast clouds
26,Esperance,AU,-33.8667,121.9,53.08,76,88,10.85,overcast clouds
27,Biak,ID,-0.9131,122.8766,75.27,85,99,4.97,overcast clouds
28,Carnarvon,AU,-24.8667,113.6333,60.87,94,100,10.36,overcast clouds
29,Ushuaia,AR,-54.8,-68.3,40.66,52,20,3.44,few clouds
30,Mataura,NZ,-46.1927,168.8643,34.48,81,2,6.49,clear sky
31,Champerico,GT,14.3,-91.9167,86.54,77,86,3.22,overcast clouds
32,Busselton,AU,-33.65,115.3333,46.71,92,88,4.07,light rain
33,Hasaki,JP,35.7333,140.8333,82.8,87,98,21.36,overcast clouds
34,Saskylakh,RU,71.9167,114.0833,53.85,77,100,6.85,overcast clouds
35,Cerro Azul,MX,21.2,-97.7333,86.14,55,9,5.14,clear sky
36,Kapaa,US,22.0752,-159.319,75.52,84,40,13.8,scattered clouds
37,Mataram,ID,-8.5833,116.1167,76.01,87,24,7.78,few clouds
38,Qaanaaq,GL,77.484,-69.3632,39.33,59,81,2.91,broken clouds
39,Belmonte,BR,-15.8631,-38.8828,78.6,58,7,10.71,clear sky
40,Taoudenni,ML,22.6783,-3.9836,115.65,7,5,18.41,clear sky
41,Skibbereen,IE,51.55,-9.2667,66.11,59,57,7.94,broken clouds
42,Dikson,RU,73.5069,80.5464,42.96,98,100,21.94,overcast clouds
43,Hermanus,ZA,-34.4187,19.2345,58.8,86,51,3.2,broken clouds
44,Namibe,AO,-15.1961,12.1522,64.76,85,25,6.87,scattered clouds
45,Novaya Lyalya,RU,59.055,60.599,68.23,81,87,2.48,light rain
46,Airai,TL,-8.9266,125.4092,57.36,83,25,3.2,scattered clouds
47,Punta Arenas,CL,-53.15,-70.9167,37.42,86,75,6.91,broken clouds
48,Iquique,CL,-20.2208,-70.1431,60.84,62,0,4.7,clear sky
49,Leningradskiy,RU,69.3833,178.4167,30.61,91,77,3.96,broken clouds
50,Norman Wells,CA,65.282,-126.8329,53.64,87,75,4.61,broken clouds
51,Saldanha,ZA,-33.0117,17.9442,57.25,81,66,7.29,broken clouds
52,Bogorodskoye,RU,56.55,37.8833,60.96,87,96,4.36,overcast clouds
53,Bredasdorp,ZA,-34.5322,20.0403,56.05,93,49,0.54,scattered clouds
54,Saint-Leu,RE,-21.15,55.2833,68.32,78,16,10.42,few clouds
55,Butaritari,KI,3.0707,172.7902,80.65,79,23,12.95,few clouds
56,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.0,74,40,5.75,scattered clouds
57,Cayenne,GF,4.9333,-52.3333,91.44,12,0,9.22,clear sky
58,Emerald,AU,-23.5333,148.1667,45.34,72,0,10.04,clear sky
59,Carutapera,BR,-1.195,-46.02,87.12,60,26,10.67,scattered clouds
60,Olafsvik,IS,64.8945,-23.7142,51.6,91,93,18.81,overcast clouds
61,Ilulissat,GL,69.2167,-51.1,44.62,93,100,3.44,overcast clouds
62,Havoysund,NO,70.9963,24.6622,52.03,86,100,21.7,overcast clouds
63,Grenaa,DK,56.4158,10.8783,70.02,83,96,4.85,overcast clouds
64,Kuopio,FI,62.8924,27.677,60.75,63,0,6.91,clear sky
65,Nikolskoye,RU,59.7035,30.7861,58.91,95,100,3.96,overcast clouds
66,Ribeira Grande,PT,38.5167,-28.7,77.4,78,40,11.5,scattered clouds
67,Kosino,RU,58.4127,51.2782,65.88,89,76,3.27,broken clouds
68,Melioratorov,RU,57.2107,65.6077,70.18,68,0,0.0,clear sky
69,Kattivakkam,IN,13.2167,80.3167,90.1,67,100,18.48,light rain
70,Avarua,CK,-21.2078,-159.775,71.65,73,40,6.91,scattered clouds
71,Saint-Philippe,RE,-21.3585,55.7679,67.59,78,41,8.57,scattered clouds
72,Ballina,AU,-28.8667,153.5667,51.78,83,33,11.79,scattered clouds
73,Lagoa,PT,39.05,-27.9833,73.87,77,37,15.48,scattered clouds
74,Tres Arroyos,AR,-38.3739,-60.2798,50.77,48,53,6.55,broken clouds
75,Hobart,AU,-42.8794,147.3294,37.06,89,3,9.22,clear sky
76,Troitsko-Pechorsk,RU,62.7084,56.1964,67.1,66,63,5.46,broken clouds
77,Salisbury,GB,51.0693,-1.7957,85.68,33,0,6.91,clear sky
78,Saint-Augustin,CA,51.226,-58.6502,65.77,45,80,9.35,broken clouds
79,Severnyy,RU,50.677,36.5532,78.84,50,0,6.71,clear sky
80,Port Hedland,AU,-20.3167,118.5667,59.05,88,25,5.75,scattered clouds
81,Jamestown,US,42.097,-79.2353,76.59,72,100,12.66,mist
82,Ancud,CL,-41.8697,-73.8203,48.22,66,23,4.34,few clouds
83,Georgetown,MY,5.4112,100.3354,84.13,77,20,3.44,few clouds
84,Mahebourg,MU,-20.4081,57.7,70.09,78,40,5.75,scattered clouds
85,Asau,RO,46.4333,26.4,76.28,56,50,1.88,scattered clouds
86,Coquimbo,CL,-29.9533,-71.3436,60.53,58,0,9.22,clear sky
87,Miri,MY,4.4148,114.0089,78.94,94,20,3.44,few clouds
88,New Norfolk,AU,-42.7826,147.0587,36.72,84,6,2.71,clear sky
89,Vila Franca Do Campo,PT,37.7167,-25.4333,75.61,78,56,6.15,light rain
90,Gioia Tauro,IT,38.424,15.899,89.29,64,6,4.92,clear sky
91,Koungou,YT,-12.7336,45.2042,73.11,78,0,0.0,clear sky
92,Sobolevo,RU,54.4299,31.8996,62.19,70,93,5.06,overcast clouds
93,Bambous Virieux,MU,-20.3428,57.7575,70.05,78,40,5.75,scattered clouds
94,Puerto Ayora,EC,-0.7393,-90.3518,75.16,83,87,8.01,overcast clouds
95,Vila Velha,BR,-20.3297,-40.2925,87.75,69,0,11.5,clear sky
96,Bressanone,IT,46.715,11.656,87.57,51,21,4.36,few clouds
97,Dunedin,NZ,-45.8742,170.5036,39.79,69,88,4.0,overcast clouds
98,Aykhal,RU,66.0,111.5,44.4,94,100,1.77,overcast clouds
99,Banda Aceh,ID,5.5577,95.3222,79.21,78,99,12.66,overcast clouds
100,Kamina,CD,-8.7386,24.9906,73.17,24,51,5.06,broken clouds
101,Victoria,HK,22.2855,114.1577,82.45,87,58,4.0,moderate rain
102,Mount Gambier,AU,-37.8333,140.7667,42.53,96,29,2.51,scattered clouds
103,Gardelegen,DE,52.5252,11.3952,80.89,38,42,7.9,scattered clouds
104,La Ronge,CA,55.1001,-105.2842,71.85,53,20,12.66,few clouds
105,Marzuq,YE,14.4,46.4667,78.37,71,47,8.12,light rain
106,Souillac,MU,-20.5167,57.5167,70.18,78,40,5.75,scattered clouds
107,Bluff,NZ,-46.6,168.3333,34.81,67,2,17.67,clear sky
108,Chokurdakh,RU,70.6333,147.9167,56.79,45,99,6.44,overcast clouds
109,Jishou,CN,28.3167,109.7167,81.12,73,97,1.28,overcast clouds
