City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Vardo,NO,2022-08-06 16:13:40,70.3705,31.1107,51.78,93,100,9.22
1,Tasiilaq,GL,2022-08-06 16:13:40,65.6145,-37.6368,46.56,77,100,14.56
2,Haines Junction,CA,2022-08-06 16:13:41,60.7522,-137.5108,53.98,82,96,5.48
3,Hamilton,US,2022-08-06 16:12:02,39.1834,-84.5333,82.2,97,75,6.91
4,Bluff,NZ,2022-08-06 16:13:41,-46.6,168.3333,40.96,97,83,22.19
5,Samarai,PG,2022-08-06 16:13:41,-10.6167,150.6667,79.86,86,96,10.29
6,Lamu,KE,2022-08-06 16:13:42,-2.2717,40.902,75.42,74,7,15.46
7,Aklavik,CA,2022-08-06 16:13:42,68.2191,-135.0107,55.4,94,100,9.22
8,Rikitea,PF,2022-08-06 16:13:42,-23.1203,-134.9692,68.95,65,81,19.48
9,Vila Velha,BR,2022-08-06 16:13:42,-20.3297,-40.2925,80.55,66,20,17.27
10,Sao Filipe,CV,2022-08-06 16:13:43,14.8961,-24.4956,77.41,83,81,6.29
11,Jalu,LY,2022-08-06 16:13:43,29.0331,21.5482,96.94,17,0,15.43
12,Cayenne,GF,2022-08-06 16:13:43,4.9333,-52.3333,89.64,28,40,5.01
13,Araxa,BR,2022-08-06 16:13:44,-19.5933,-46.9406,84.87,23,6,5.73
14,Punta Arenas,CL,2022-08-06 16:13:28,-53.15,-70.9167,37.51,87,100,8.05
15,New Norfolk,AU,2022-08-06 16:13:44,-42.7826,147.0587,42.3,73,100,1.52
16,Talnakh,RU,2022-08-06 16:13:45,69.4865,88.3972,55.26,96,97,2.06
17,Atuona,PF,2022-08-06 16:13:45,-9.8,-139.0333,76.77,77,60,18.7
18,Surt,LY,2022-08-06 16:13:45,31.2089,16.5887,83.91,60,0,11.77
19,Torbay,CA,2022-08-06 16:12:20,47.6666,-52.7314,78.89,72,9,11.99
20,Iquitos,PE,2022-08-06 16:13:46,-3.7481,-73.2472,82.44,78,75,5.75
21,Mataura,NZ,2022-08-06 16:13:46,-46.1927,168.8643,43.61,94,91,5.12
22,Moose Factory,CA,2022-08-06 16:13:46,51.2585,-80.6094,65.89,94,100,13.33
23,Cherskiy,RU,2022-08-06 16:13:47,68.75,161.3,48.76,66,52,4.12
24,Qiyang,CN,2022-08-06 16:13:47,26.5911,111.8474,81.93,72,49,5.23
25,Sumbe,AO,2022-08-06 16:13:47,-11.2061,13.8437,70.66,77,100,6.53
26,Wattegama,LK,2022-08-06 16:13:48,6.7989,81.4808,78.8,64,100,7.2
27,Mar Del Plata,AR,2022-08-06 16:13:46,-38.0023,-57.5575,51.1,77,0,5.75
28,Broome,US,2022-08-06 16:13:48,42.2506,-75.833,87.69,68,20,11.5
29,Narsaq,GL,2022-08-06 16:13:48,60.9167,-46.05,50.22,95,99,7.16
30,Albany,US,2022-08-06 16:12:57,42.6001,-73.9662,89.62,63,34,4.81
31,Khash,IR,2022-08-06 16:13:49,28.2211,61.2158,87.22,12,0,7.67
32,Dikson,RU,2022-08-06 16:13:49,73.5069,80.5464,42.17,98,98,8.93
33,Codrington,AU,2022-08-06 16:13:49,-38.2667,141.9667,48.85,81,99,7.85
34,Port Hedland,AU,2022-08-06 16:13:50,-20.3167,118.5667,59.05,77,0,5.75
35,Pevek,RU,2022-08-06 16:13:50,69.7008,170.3133,35.69,99,100,5.66
36,Roela,EE,2022-08-06 16:13:51,59.1667,26.5926,66.16,53,100,9.71
37,Richards Bay,ZA,2022-08-06 16:13:51,-28.783,32.0377,67.39,87,38,2.82
38,Palembang,ID,2022-08-06 16:13:51,-2.9167,104.7458,78.89,89,40,0.0
39,Yining,CN,2022-08-06 16:13:52,29.0361,114.5636,81.0,75,16,3.02
40,Butaritari,KI,2022-08-06 16:13:52,3.0707,172.7902,81.68,78,89,14.7
41,Barrow,US,2022-08-06 16:13:52,71.2906,-156.7887,35.22,88,100,17.2
42,Port Alfred,ZA,2022-08-06 16:13:53,-33.5906,26.891,59.18,92,26,3.0
43,Upernavik,GL,2022-08-06 16:10:26,72.7868,-56.1549,40.08,92,76,11.1
44,Katsuura,JP,2022-08-06 16:14:53,35.1333,140.3,75.47,85,69,5.08
45,Ankazobe,MG,2022-08-06 16:14:53,-18.3167,47.1167,64.22,44,30,4.03
46,Haapiti,PF,2022-08-06 16:14:54,-17.5667,-149.8667,71.33,75,89,23.51
47,Carutapera,BR,2022-08-06 16:14:54,-1.195,-46.02,85.46,62,43,10.36
48,Udachnyy,RU,2022-08-06 16:14:54,66.4167,112.4,48.92,94,100,16.55
49,Ingham,US,2022-08-06 16:14:55,42.6,-84.3833,86.85,74,40,4.61
50,Khatanga,RU,2022-08-06 16:14:55,71.9667,102.5,55.51,81,21,3.0
51,Norman Wells,CA,2022-08-06 16:14:55,65.282,-126.8329,57.24,94,100,18.41
52,Hilo,US,2022-08-06 16:14:55,19.7297,-155.09,75.27,95,75,4.61
53,Bilma,NE,2022-08-06 16:14:56,18.6853,12.9164,106.36,12,7,6.82
54,Blagoyevo,RU,2022-08-06 16:14:56,63.3667,47.9167,75.94,56,0,4.29
55,Jarocin,PL,2022-08-06 16:14:56,51.9727,17.5026,74.84,28,100,9.24
56,Vaini,TO,2022-08-06 16:14:57,-21.2,-175.2,71.76,88,40,10.36
57,Ilo,PE,2022-08-06 16:14:57,-17.6394,-71.3375,61.66,77,75,8.05
58,Yellowknife,CA,2022-08-06 16:14:57,62.456,-114.3525,63.12,63,75,15.01
59,Mahebourg,MU,2022-08-06 16:14:58,-20.4081,57.7,70.09,83,40,13.8
60,Bengkulu,ID,2022-08-06 16:14:58,-3.8004,102.2655,75.51,86,0,4.72
61,Ancud,CL,2022-08-06 16:14:58,-41.8697,-73.8203,48.22,67,100,9.64
62,Avarua,CK,2022-08-06 16:14:59,-21.2078,-159.775,73.45,78,75,12.66
63,Georgetown,MY,2022-08-06 16:11:22,5.4112,100.3354,83.89,79,20,0.0
64,Kholodnyy,RU,2022-08-06 16:14:59,62.7167,147.95,50.09,91,89,7.43
65,Baruun-Urt,MN,2022-08-06 16:14:59,46.6806,113.2792,58.82,88,99,9.8
66,Kapit,MY,2022-08-06 16:15:00,2.0167,112.9333,73.78,97,100,0.34
67,Matara,LK,2022-08-06 16:15:00,5.9485,80.5353,77.05,90,100,8.3
68,Busselton,AU,2022-08-06 16:15:00,-33.65,115.3333,54.39,91,47,14.29
69,Mount Isa,AU,2022-08-06 16:15:01,-20.7333,139.5,65.97,27,100,9.22
70,Koulikoro,ML,2022-08-06 16:15:01,14.0,-7.75,88.63,50,76,7.96
71,Hobart,AU,2022-08-06 16:10:24,-42.8794,147.3294,42.66,86,100,10.36
72,Darnah,LY,2022-08-06 16:15:01,32.767,22.6367,82.72,62,0,21.36
73,Ketchikan,US,2022-08-06 16:15:02,55.3422,-131.6461,59.47,94,100,14.97
74,Castro,BR,2022-08-06 16:15:02,-24.7911,-50.0119,63.59,71,98,6.76
75,Mount Gambier,AU,2022-08-06 16:15:03,-37.8333,140.7667,47.79,91,93,5.21
76,Ushuaia,AR,2022-08-06 16:15:03,-54.8,-68.3,37.02,80,0,1.14
77,Puerto Escondido,MX,2022-08-06 16:13:02,15.85,-97.0667,86.83,70,40,5.75
78,Ignacio Zaragoza,MX,2022-08-06 16:15:03,28.3833,-107.2167,73.26,44,6,6.17
79,Halifax,CA,2022-08-06 16:11:24,44.6453,-63.5724,81.7,83,63,5.01
80,Lebu,CL,2022-08-06 16:15:04,-37.6167,-73.65,49.86,95,100,5.08
81,Berbera,SO,2022-08-06 16:15:04,10.4396,45.0143,92.17,48,28,3.49
82,Toora-Khem,RU,2022-08-06 16:15:04,52.4675,96.11,45.57,73,10,2.59
83,Thompson,CA,2022-08-06 16:15:05,55.7435,-97.8558,59.16,63,20,9.22
84,Paragominas,BR,2022-08-06 16:15:05,-2.9667,-47.4833,92.41,38,23,6.58
85,Qaanaaq,GL,2022-08-06 16:15:05,77.484,-69.3632,42.17,57,100,2.91
86,Saldanha,ZA,2022-08-06 16:15:06,-33.0117,17.9442,58.98,79,0,14.29
87,Collie,AU,2022-08-06 16:15:06,-33.3667,116.15,50.09,96,58,6.58
88,Faanui,PF,2022-08-06 16:15:06,-16.4833,-151.75,77.94,76,69,24.56
89,Tiksi,RU,2022-08-06 16:15:07,71.6872,128.8694,38.8,91,100,16.08
90,Leshukonskoye,RU,2022-08-06 16:15:07,64.8989,45.7622,78.01,52,2,6.55
91,Sitka,US,2022-08-06 16:11:26,57.0531,-135.33,57.09,94,100,11.5
92,Shellbrook,CA,2022-08-06 16:16:08,53.2168,-106.4011,63.63,55,60,8.43
93,Victoria,HK,2022-08-06 16:13:41,22.2855,114.1577,83.32,91,61,4.0
94,Boli,CN,2022-08-06 16:16:08,45.7667,130.5167,71.31,74,99,2.42
95,Waipawa,NZ,2022-08-06 16:16:08,-41.4122,175.5153,53.58,82,82,17.27
96,Songea,TZ,2022-08-06 16:16:09,-10.6833,35.65,64.74,44,30,3.78
97,Touros,BR,2022-08-06 16:16:09,-5.1989,-35.4608,83.1,64,83,17.05
98,East London,ZA,2022-08-06 16:16:10,-33.0153,27.9116,59.94,88,20,10.36
99,Puerto Ayora,EC,2022-08-06 16:16:10,-0.7393,-90.3518,76.96,90,92,10.0
100,Ponta Do Sol,PT,2022-08-06 16:16:10,32.6667,-17.1,80.71,73,0,3.71
101,Cape Town,ZA,2022-08-06 16:16:10,-33.9258,18.4232,62.11,69,20,14.0
102,Hermanus,ZA,2022-08-06 16:16:11,-34.4187,19.2345,55.8,73,100,22.44
103,Hithadhoo,MV,2022-08-06 16:16:11,-0.6,73.0833,82.89,72,48,10.8
104,Komsomolskiy,UZ,2022-08-06 16:16:11,40.4272,71.7189,83.28,23,1,7.83
105,Avera,US,2022-08-06 16:16:12,33.194,-82.5271,89.55,54,72,6.51
106,Cambados,ES,2022-08-06 16:16:12,42.5122,-8.8131,79.79,60,3,5.7
107,Carbonia,IT,2022-08-06 16:13:21,39.1672,8.5222,95.02,43,1,12.28
108,Saint George,US,2022-08-06 16:16:12,37.1041,-113.5841,88.63,43,0,3.44
109,Makaryev,RU,2022-08-06 16:16:13,57.8797,43.8069,73.87,64,87,4.85
110,Kodiak,US,2022-08-06 16:16:13,57.79,-152.4072,53.11,76,40,0.0
111,Klaksvik,FO,2022-08-06 16:16:13,62.2266,-6.589,54.52,99,100,11.7
112,Airai,TL,2022-08-06 16:16:14,-8.9266,125.4092,58.32,96,95,2.73
113,Khandyga,RU,2022-08-06 16:12:15,62.6667,135.6,64.2,64,100,3.49
114,Tahta,EG,2022-08-06 16:16:14,26.7693,31.5021,100.83,14,7,15.17
115,Kiunga,PG,2022-08-06 16:16:14,-6.1219,141.2906,73.04,99,100,1.43
116,Fairbanks,US,2022-08-06 16:16:15,64.8378,-147.7164,51.76,90,100,6.91
117,Sefton,NZ,2022-08-06 16:16:15,-43.25,172.6667,49.96,94,5,4.09
118,Florianopolis,BR,2022-08-06 16:16:15,-27.6146,-48.5012,63.63,61,75,8.05
119,Rafraf,TN,2022-08-06 16:16:16,37.1904,10.1837,88.12,64,8,10.18
120,Kyren,RU,2022-08-06 16:16:16,51.6828,102.1408,52.45,81,86,0.85
121,Marawi,PH,2022-08-06 16:16:16,7.9986,124.2928,68.92,98,100,2.39
122,Kargalinskaya,RU,2022-08-06 16:16:17,43.7417,46.4792,72.46,66,41,8.34
123,Camacha,PT,2022-08-06 16:16:17,33.0833,-16.3333,72.82,64,40,12.66
124,Ribeira Grande,PT,2022-08-06 16:16:17,38.5167,-28.7,77.4,78,20,11.5
125,Kommunisticheskiy,RU,2022-08-06 16:16:18,61.6789,64.4819,68.9,64,88,1.52
